iati_id,status,planned_start,actual_start,planned_end,actual_end
DE-1-201401124-0,Finalisation,2016-08-16T00:00:00Z,2016-08-16T00:00:00Z,2019-02-15T00:00:00Z,2019-02-15T00:00:00Z
DE-1-201732015-0,Finalisation,2016-08-16T00:00:00Z,2016-08-16T00:00:00Z,2019-02-15T00:00:00Z,2019-02-15T00:00:00Z
DE-1-201401181-0,Finalisation,2016-08-16T00:00:00Z,2016-08-16T00:00:00Z,2019-02-15T00:00:00Z,2019-02-15T00:00:00Z
DE-1-201732049-0,Finalisation,2016-08-16T00:00:00Z,2016-08-16T00:00:00Z,2019-02-15T00:00:00Z,2019-02-15T00:00:00Z
DE-1-201732064-0,Finalisation,2016-08-16T00:00:00Z,2016-08-16T00:00:00Z,2019-02-15T00:00:00Z,2019-02-15T00:00:00Z
DE-1-201406438-0,Finalisation,2016-08-16T00:00:00Z,2016-08-16T00:00:00Z,2019-02-15T00:00:00Z,2019-02-15T00:00:00Z
DE-1-201732080-0,Finalisation,2016-08-16T00:00:00Z,2016-08-16T00:00:00Z,2019-02-15T00:00:00Z,2019-02-15T00:00:00Z
DE-1-201732098-0,Finalisation,2016-08-16T00:00:00Z,2016-08-16T00:00:00Z,2019-02-15T00:00:00Z,2019-02-15T00:00:00Z
DE-1-201410075-0,Finalisation,2016-08-16T00:00:00Z,2016-08-16T00:00:00Z,2019-02-15T00:00:00Z,2019-02-15T00:00:00Z
DE-1-201732213-0,Finalisation,2016-08-16T00:00:00Z,2016-08-16T00:00:00Z,2019-02-15T00:00:00Z,2019-02-15T00:00:00Z
DE-1-201732585-0,Finalisation,2016-08-16T00:00:00Z,2016-08-16T00:00:00Z,2019-02-15T00:00:00Z,2019-02-15T00:00:00Z
DE-1-201732734-0,Finalisation,2016-08-16T00:00:00Z,2016-08-16T00:00:00Z,2019-02-15T00:00:00Z,2019-02-15T00:00:00Z
DE-1-201732775-0,Finalisation,2016-08-16T00:00:00Z,2016-08-16T00:00:00Z,2019-02-15T00:00:00Z,2019-02-15T00:00:00Z
DE-1-201732783-0,Finalisation,2016-08-16T00:00:00Z,2016-08-16T00:00:00Z,2019-02-15T00:00:00Z,2019-02-15T00:00:00Z
DE-1-201432285-0,Finalisation,2016-08-16T00:00:00Z,2016-08-16T00:00:00Z,2019-02-15T00:00:00Z,2019-02-15T00:00:00Z
DE-1-201733435-0,Finalisation,2016-08-16T00:00:00Z,2016-08-16T00:00:00Z,2019-02-15T00:00:00Z,2019-02-15T00:00:00Z
DE-1-201432350-0,Finalisation,2016-08-16T00:00:00Z,2016-08-16T00:00:00Z,2019-02-15T00:00:00Z,2019-02-15T00:00:00Z
DE-1-201733518-0,Finalisation,2016-08-16T00:00:00Z,2016-08-16T00:00:00Z,2019-02-15T00:00:00Z,2019-02-15T00:00:00Z
DE-1-201433226-0,Finalisation,2016-08-16T00:00:00Z,2016-08-16T00:00:00Z,2019-02-15T00:00:00Z,2019-02-15T00:00:00Z
DE-1-201733583-0,Finalisation,2016-08-16T00:00:00Z,2016-08-16T00:00:00Z,2019-02-15T00:00:00Z,2019-02-15T00:00:00Z
DE-1-201433929-0,Finalisation,2016-08-16T00:00:00Z,2016-08-16T00:00:00Z,2019-02-15T00:00:00Z,2019-02-15T00:00:00Z
DE-1-201733716-0,Finalisation,2016-08-16T00:00:00Z,2016-08-16T00:00:00Z,2019-02-15T00:00:00Z,2019-02-15T00:00:00Z
DE-1-201739044-0,Finalisation,2016-08-16T00:00:00Z,2016-08-16T00:00:00Z,2019-02-15T00:00:00Z,2019-02-15T00:00:00Z
DE-1-201439124-0,Finalisation,2016-08-16T00:00:00Z,2016-08-16T00:00:00Z,2019-02-15T00:00:00Z,2019-02-15T00:00:00Z
DE-1-201773787-0,Finalisation,2016-08-16T00:00:00Z,2016-08-16T00:00:00Z,2019-02-15T00:00:00Z,2019-02-15T00:00:00Z
DE-1-201439603-0,Finalisation,2016-08-16T00:00:00Z,2016-08-16T00:00:00Z,2019-02-15T00:00:00Z,2019-02-15T00:00:00Z
DE-1-201774033-0,Finalisation,2016-08-16T00:00:00Z,2016-08-16T00:00:00Z,2019-02-15T00:00:00Z,2019-02-15T00:00:00Z
DE-1-201439645-0,Finalisation,2016-08-16T00:00:00Z,2016-08-16T00:00:00Z,2019-02-15T00:00:00Z,2019-02-15T00:00:00Z
DE-1-201774678-0,Finalisation,2016-08-16T00:00:00Z,2016-08-16T00:00:00Z,2019-02-15T00:00:00Z,2019-02-15T00:00:00Z
DE-1-201775212-0,Finalisation,2016-08-16T00:00:00Z,2016-08-16T00:00:00Z,2019-02-15T00:00:00Z,2019-02-15T00:00:00Z
DE-1-201440692,Implementation,2016-08-16T00:00:00Z,2016-08-16T00:00:00Z,2019-02-15T00:00:00Z,2019-02-15T00:00:00Z
DE-1-201775352-0,Finalisation,2016-08-16T00:00:00Z,2016-08-16T00:00:00Z,2019-02-15T00:00:00Z,2019-02-15T00:00:00Z
