iati_id,country,region,location
DE-1-201401124-0,KE; ,,['Nairobi']
DE-1-201732015-0,CO; ,,['Bogota']
DE-1-201401181-0,KE; ,,['Nairobi']
DE-1-201732049-0,CO; ,,['Bogota']
DE-1-201732064-0,CO; ,,['Bogota']
DE-1-201406438-0,KE; ,,['Nairobi']
DE-1-201732080-0,CO; ,,['Bogota']
DE-1-201732098-0,CO; ,,['Bogota']
DE-1-201410075-0,KE; ,,['Nairobi']
DE-1-201732213-0,CO; ,,['Bogota']
DE-1-201732585-0,CO; ,,['Bogota']
DE-1-201732734-0,CO; ,,['Bogota']
DE-1-201732775-0,CO; ,,['Bogota']
DE-1-201732783-0,CO; ,,['Bogota']
DE-1-201432285-0,KE; ,,['Nairobi']
DE-1-201733435-0,CO; ,,['Bogota']
DE-1-201432350-0,KE; ,,['Nairobi']
DE-1-201733518-0,CO; ,,['Bogota']
DE-1-201433226-0,KE; ,,['Nairobi']
DE-1-201733583-0,CO; ,,['Bogota']
DE-1-201433929-0,KE; ,,['Nairobi']
DE-1-201733716-0,CO; ,,['Bogota']
DE-1-201739044-0,CO; ,,['Bogota']
DE-1-201439124-0,KE; ,,['Nairobi']
DE-1-201773787-0,CO; ,,['Bogota']
DE-1-201439603-0,KE; ,,['Nairobi']
DE-1-201774033-0,CO; ,,['Bogota']
DE-1-201439645-0,KE; ,,['Nairobi']
DE-1-201774678-0,CO; ,,['Bogota']
DE-1-201775212-0,CO; ,,['Bogota']
DE-1-201440692,KE; ,,['Nairobi']
DE-1-201775352-0,CO; ,,['Bogota']
DE-1-201465285,KE; ,,['Nairobi']
DE-1-201475102-0,KE; ,,['Nairobi']
DE-1-201475110-0,KE; ,,['Nairobi']
DE-1-201806009-3715,CO; ,,['Bogota']
DE-1-201475391-0,KE; ,,['Nairobi']
DE-1-201475409-0,KE; ,,['Nairobi']
DE-1-201821396,CO; ,,['Bogota']
DE-1-201475417-0,KE; ,,['Nairobi']
DE-1-201821404,CO; ,,['Bogota']
DE-1-201475425-0,KE; ,,['Nairobi']
DE-1-201475656-0,KE; ,,['Nairobi']
DE-1-201821420-0,CO; ,,['Bogota']
DE-1-201475664-0,KE; ,,['Nairobi']
DE-1-201476076-0,KE; ,,['Nairobi']
DE-1-201830033-0,CO; ,,['Bogota']
DE-1-201830280-0,CO; ,,['Bogota']
DE-1-201501303-0,KE; ,,['Nairobi']
DE-1-201506195-0,KE; ,,['Nairobi']
DE-1-201831312-0,CO; ,,['Bogota']
DE-1-201506278-0,KE; ,,['Nairobi']
DE-1-201831544-0,CO; ,,['Bogota']
DE-1-201831742-0,CO; ,,['Bogota']
DE-1-201509983-0,KE; ,,['Nairobi']
DE-1-201832146-0,CO; ,,['Bogota']
DE-1-201832161-0,CO; ,,['Bogota']
DE-1-201515485-0,KE; ,,['Nairobi']
DE-1-201832179-0,CO; ,,['Bogota']
DE-1-201832609-0,CO; ,,['Bogota']
DE-1-201832831-0,CO; ,,['Bogota']
DE-1-201518356-0,KE; ,,['Nairobi']
DE-1-201832864-0,CO; ,,['Bogota']
DE-1-201832880-0,CO; ,,['Bogota']
DE-1-201520790,KE; ,,['Nairobi']
DE-1-201833607-0,CO; ,,['Bogota']
DE-1-201530401-0,KE; ,,['Nairobi']
DE-1-201833615-0,CO; ,,['Bogota']
DE-1-201532563-0,KE; ,,['Nairobi']
DE-1-201833821-0,CO; ,,['Bogota']
DE-1-201533322-0,KE; ,,['Nairobi']
DE-1-201533991-0,KE; ,,['Nairobi']
DE-1-201833839-0,CO; ,,['Bogota']
DE-1-201834142-0,CO; ,,['Bogota']
DE-1-201540582-0,KE; ,,['Nairobi']
DE-1-201839059-0,CO; ,,['Bogota']
DE-1-201567916,KE; ,,['Nairobi']
DE-1-201839067-0,CO; ,,['Bogota']
DE-1-201574425-0,KE; ,,['Nairobi']
DE-1-201839075-0,CO; ,,['Bogota']
DE-1-201839091-0,CO; ,,['Bogota']
DE-1-201574524-0,KE; ,,['Nairobi']
DE-1-201839109-0,CO; ,,['Bogota']
DE-1-201574656-0,KE; ,,['Nairobi']
DE-1-201839778-0,CO; ,,['Bogota']
DE-1-201574888-0,KE; ,,['Nairobi']
DE-1-201839802-0,CO; ,,['Bogota']
DE-1-201574896-0,KE; ,,['Nairobi']
DE-1-201839919-0,CO; ,,['Bogota']
DE-1-201575448-0,KE; ,,['Nairobi']
DE-1-201839935-0,CO; ,,['Bogota']
DE-1-201576610-0,KE; ,,['Nairobi']
DE-1-201840453-4193,CO; ,,['Bogota']
DE-1-201598358-0,KE; ,,['Nairobi']
DE-1-201867142,CO; ,,['Bogota']
DE-1-201601418,KE; ,,['Nairobi']
DE-1-201868033,CO; ,,['Bogota']
DE-1-201601533,KE; ,,['Nairobi']
DE-1-201873546-0,CO; ,,['Bogota']
DE-1-201873918-0,CO; ,,['Bogota']
DE-1-201606003-1211,KE; ,,['Nairobi']
DE-1-201875251-0,CO; ,,['Bogota']
DE-1-201876036-0,CO; ,,['Bogota']
DE-1-201606003-1365,KE; ,,['Nairobi']
DE-1-201876226-0,CO; ,,['Bogota']
DE-1-201876234-0,CO; ,,['Bogota']
DE-1-201876242-0,CO; ,,['Bogota']
DE-1-201906015-4097,CO; ,,['Bogota']
DE-1-201618636-0,KE; ,,['Nairobi']
DE-1-201906015-4102,CO; ,,['Bogota']
DE-1-201621051,KE; ,,['Nairobi']
DE-1-201906015-4237,CO; ,,['Bogota']
DE-1-201621069,KE; ,,['Nairobi']
DE-1-201906015-4351,CO; ,,['Bogota']
DE-1-201910280-0,CO; ,,['Bogota']
DE-1-201923655,CO; ,,['Bogota']
DE-1-201923663,CO; ,,['Bogota']
DE-1-201621101,KE; ,,['Nairobi']
DE-1-201930114-0,CO; ,,['Bogota']
DE-1-201630102-0,KE; ,,['Nairobi']
DE-1-201930155-0,CO; ,,['Bogota']
DE-1-201630854-0,KE; ,,['Nairobi']
DE-1-201930189-0,CO; ,,['Bogota']
DE-1-201631266-0,KE; ,,['Nairobi']
DE-1-201631829-0,KE; ,,['Nairobi']
DE-1-201930296-0,CO; ,,['Bogota']
DE-1-201930494-0,CO; ,,['Bogota']
DE-1-201631936-0,KE; ,,['Nairobi']
DE-1-201631944-0,KE; ,,['Nairobi']
DE-1-201931047-0,CO; ,,['Bogota']
DE-1-201632702-0,KE; ,,['Nairobi']
DE-1-201931427-0,CO; ,,['Bogota']
DE-1-201633213-0,KE; ,,['Nairobi']
DE-1-201931476-0,CO; ,,['Bogota']
DE-1-201633973-0,KE; ,,['Nairobi']
DE-1-201635010,KE; ,,['Nairobi']
DE-1-201931492-0,CO; ,,['Bogota']
DE-1-201931500-0,CO; ,,['Bogota']
DE-1-201665108,KE; ,,['Nairobi']
DE-1-201931542-0,CO; ,,['Bogota']
DE-1-201931666-0,CO; ,,['Bogota']
DE-1-201665116,KE; ,,['Nairobi']
DE-1-201931799-0,CO; ,,['Bogota']
DE-1-201665124,KE; ,,['Nairobi']
DE-1-201932193-0,CO; ,,['Bogota']
DE-1-201665298,KE; ,,['Nairobi']
DE-1-201932219-0,CO; ,,['Bogota']
DE-1-201667211,KE; ,,['Nairobi']
DE-1-201932268-0,CO; ,,['Bogota']
DE-1-201668342,KE; ,,['Nairobi']
DE-1-201932276-0,CO; ,,['Bogota']
DE-1-201674134-0,KE; ,,['Nairobi']
DE-1-201932441-0,CO; ,,['Bogota']
DE-1-201674142-0,KE; ,,['Nairobi']
DE-1-201932474-0,CO; ,,['Bogota']
DE-1-201674498-0,KE; ,,['Nairobi']
DE-1-201932565-0,CO; ,,['Bogota']
DE-1-201674738-0,KE; ,,['Nairobi']
DE-1-201932912-0,CO; ,,['Bogota']
DE-1-201674746-0,KE; ,,['Nairobi']
DE-1-201933753-0,CO; ,,['Bogota']
DE-1-201675123-0,KE; ,,['Nairobi']
DE-1-201675750-0,KE; ,,['Nairobi']
DE-1-201933936-0,CO; ,,['Bogota']
DE-1-201933985-0,CO; ,,['Bogota']
DE-1-201676121-0,KE; ,,['Nairobi']
DE-1-201676774-0,KE; ,,['Nairobi']
DE-1-201939230-0,CO; ,,['Bogota']
DE-1-201701127-2693,KE; ,,['Nairobi']
DE-1-201939339-0,CO; ,,['Bogota']
DE-1-201939503-0,CO; ,,['Bogota']
DE-1-201939511-0,CO; ,,['Bogota']
DE-1-201939768-0,CO; ,,['Bogota']
DE-1-201706019-1782,KE; ,,['Nairobi']
DE-1-201939776-0,CO; ,,['Bogota']
DE-1-201965300,CO; ,,['Bogota']
DE-1-201973536-0,CO; ,,['Bogota']
DE-1-201973759-0,CO; ,,['Bogota']
DE-1-201974492-0,CO; ,,['Bogota']
DE-1-201706019-1935,KE; ,,['Nairobi']
DE-1-201974674-0,CO; ,,['Bogota']
DE-1-201706019-2231,KE; ,,['Nairobi']
DE-1-201974740-0,CO; ,,['Bogota']
DE-1-201706019-2263,KE; ,,['Nairobi']
DE-1-201974757-0,CO; ,,['Bogota']
DE-1-201706019-2444,KE; ,,['Nairobi']
DE-1-202006005-5090,CO; ,,['Bogota']
DE-1-202006005-5117,CO; ,,['Bogota']
DE-1-201709948-0,KE; ,,['Nairobi']
DE-1-201709955-0,KE; ,,['Nairobi']
DE-1-202006005-5158,CO; ,,['Bogota']
